,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
49,AC,25.25968695,65.64346795,0.03,26.0,90.0,61.07691803,More,30.0,2.0
50,NV,27.3859022,80.6769827,1.14,28.55,88.0,62.29389493,More,8.0,18.0
51,AC,24.010643,64.5948023,0.13,24.8,89.0,64.0,No Change,47.0,2.0
52,NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,More,54.0,17.0
53,AC,28.02454665,70.03412209999999,0.45,29.3,90.0,59.0,More,39.0,4.0
54,NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,More,39.0,17.0
55,AC,25.422402400000003,77.39952274999999,0.13,26.2,89.0,62.0,More,60.0,2.0
56,AC,24.87101935,68.94964,0.2,26.0,83.0,73.0,More,1.0,1.0
57,AC,25.3058491,76.48246,0.42,25.85,91.0,60.0,Less,45.0,4.0
58,AC,24.77680445,68.98632,0.13,25.8,91.0,55.0,No Change,26.0,2.0
59,NV,28.35708,73.904775,1.6,29.0,90.0,57.0,No Change,26.0,19.0
60,AC,25.6408987,66.22472214999999,0.03,26.35,90.0,61.0,More,25.0,2.0
61,AC,25.30559445,75.1471522,0.49,25.85,94.0,52.0,Less,35.0,4.0
62,NV,27.2297106,80.2595253,0.63,28.35,88.0,62.0,More,9.0,19.0
63,AC,24.733455,69.976585,0.15,26.4,90.0,60.0,No Change,42.0,2.0
64,NV,29.3690672,74.16417,0.4,30.0,92.0,55.45385725,More,33.0,19.0
65,NV,28.1517763,74.60062260000001,0.27,29.1,90.0,58.0,More,29.0,17.0
66,NV,27.3176635,77.61981779999999,0.05,28.2,90.0,58.0,More,29.0,16.0
67,AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,No Change,6.0,4.0
68,NV,25.8066244,70.19372,0.26,26.3,91.0,55.0,No Change,26.0,18.0
69,NV,27.2373285,75.074165,0.54,28.05,87.0,61.0,No Change,50.0,18.0
70,AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,59.0,1.0
71,NV,28.2101202,78.130925,0.37,29.15,91.0,58.0,More,23.0,17.0
72,NV,28.199626,80.49376000000001,0.05,29.3,88.0,65.69895856,No Change,12.0,16.0
73,NV,27.6431484,76.4995576,1.1,28.5,87.0,67.0,No Change,1.0,19.0
74,NV,26.3269892,76.14605789999999,0.38,27.35,89.0,61.0,Less,20.0,18.0
75,AC,25.67464295,68.524442,0.65,26.35,88.0,63.0,More,8.0,4.0
76,AC,25.6627033,72.98564999999999,0.03,26.55,91.0,58.04668938,More,59.0,2.0
77,NV,28.86610715,75.04375289999999,0.3,29.85,90.0,59.0,More,15.0,17.0
78,NV,29.55438615,72.80058305,0.09,30.35,92.0,55.0,More,56.0,16.0
79,NV,28.37111375,75.04097745,0.08,29.25,91.0,58.0,More,25.0,17.0
80,NV,28.523658750000003,77.92713805,0.02,29.65,91.0,58.0,More,34.0,17.0
81,AC,24.10182595,65.3353073,0.11,25.5,90.0,63.0,More,42.0,1.0
82,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,No Change,36.0,18.0
83,NV,28.7493633,68.83581000000001,0.48,29.65,93.0,49.0,No Change,48.0,17.0
84,NV,26.52745625,74.61818790000001,0.28,27.55,91.0,57.0,No Change,25.0,18.0
85,AC,24.7277887,69.61462,0.08,26.4,90.0,60.0,More,41.0,2.0
86,AC,25.29827595,65.68046705,0.03,26.0,90.0,60.07665772,More,29.0,2.0
87,NV,28.70016365,68.11952,0.68,29.4,93.0,48.0,Less,45.0,17.0
88,AC,24.8110323,70.94870755,0.15,26.45,89.0,60.0,More,8.0,2.0
89,NV,28.35708,73.904775,1.6,29.0,90.0,57.0,No Change,25.0,19.0
90,AC,25.3058491,76.48246,0.42,25.85,91.0,60.0,Less,46.0,4.0
91,AC,25.3470192,75.53910445,0.47,25.9,94.0,52.0,Less,32.0,4.0
92,NV,25.54950615,70.42307,0.03,25.950000000000003,93.0,52.0,No Change,47.0,16.0
93,AC,25.5875284,70.96835999999999,0.23,26.2,89.0,52.0,No Change,52.0,4.0
94,AC,25.83666515,69.80744999999999,0.59,26.55,88.0,63.0,No Change,10.0,4.0
95,AC,25.5679827,65.013785,0.45,26.4,89.0,58.0,No Change,51.0,3.0
96,AC,25.6525,66.83991499999999,0.18,26.0,90.0,63.0,No Change,47.0,3.0
97,NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,No Change,37.0,17.0
98,NV,28.2296936,79.77403000000001,0.54,29.1,90.95917264,60.0,No Change,22.0,19.0
99,AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,Less,2.0,4.0
100,NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,No Change,47.0,17.0
101,AC,24.10182595,65.3353073,0.11,25.5,90.0,63.0,No Change,37.0,1.0
102,NV,27.3063831,75.91471695,0.57,28.2,87.0,61.0,No Change,53.0,18.0
103,NV,27.72992225,77.1736231,0.08,28.6,90.0,58.0,More,28.0,16.0
104,NV,28.91536045,77.2558899,0.07,29.65,90.0,62.0,More,24.0,16.0
105,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Less,55.0,19.0
106,NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,Less,53.0,17.0
107,NV,29.45972285,73.77513705,0.55,30.3,91.0,59.0,More,16.0,17.0
108,NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,More,50.0,16.0
109,NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,No Change,43.0,16.0
110,NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,More,51.0,17.0
111,AC,24.831316,72.60397735,0.17,25.950000000000003,92.0,56.0,More,27.0,2.0
112,AC,23.8942356,65.14160695000001,0.07,25.2,90.0,62.0,No Change,38.0,1.0
113,AC,25.57991885,66.15097895,0.09,26.15,91.0,57.0,No Change,14.0,1.0
114,AC,24.37159185,63.2592831,0.11,24.8,89.0,62.0,More,19.0,2.0
115,NV,28.411007,73.146215,0.23,29.200000000000003,94.0,55.58012383,More,38.0,17.0
116,NV,26.3269892,76.14605789999999,0.38,27.35,89.0,61.0,No Change,22.0,18.0
117,AC,26.47763395,67.844155,0.47,27.1,90.0,59.0,No Change,40.0,4.0
118,NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,No Change,56.0,19.0
119,NV,28.19567395,75.3918,0.08,29.0,90.0,59.0,More,25.0,16.0
120,AC,26.47763395,67.844155,0.47,27.1,90.0,59.0,No Change,42.0,4.0
121,NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,No Change,37.0,19.0
