,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
97,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,Acceptable,10.0,19.0
98,NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,Unacceptable,15.0,18.0
99,NV,29.476764,74.0503044,0.18,30.1,92.0,56.0,Acceptable,32.0,19.0
100,NV,28.1517763,74.60062260000001,0.27,29.1,90.0,58.0,Unacceptable,25.0,17.0
101,AC,25.4258623,69.37249695,0.46,26.0,87.0,64.0,Unacceptable,20.0,4.0
102,NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Unacceptable,14.0,17.0
103,NV,28.1159983,74.05206305,0.14,28.9,90.0,56.0,Acceptable,27.0,17.0
104,NV,29.71229365,76.92506,0.59,30.35,93.0,57.0,Acceptable,39.0,18.0
105,NV,27.3859022,80.6769827,1.14,28.55,88.0,62.29389493,Unacceptable,8.0,18.0
106,NV,28.0824013,73.87972500000001,0.78,28.85,90.0,56.0,Acceptable,28.0,19.0
107,AC,25.13423825,64.56283,0.67,25.700000000000003,90.0,60.0,Acceptable,30.0,3.0
108,NV,29.53199105,76.24749215,0.03,30.3,94.0,55.41261049,Unacceptable,41.0,16.0
109,NV,27.74478435,80.34176,0.23,28.700000000000003,87.0,67.0,Unacceptable,9.0,17.0
110,AC,25.15946105,72.66568275,0.16,25.75,93.0,55.0,Acceptable,35.0,2.0
111,AC,25.4633837,67.5986099,0.38,25.700000000000003,91.0,55.0,Acceptable,29.0,4.0
112,AC,25.198411,67.88993500000001,0.12,26.65,89.0,60.0,Acceptable,7.0,2.0
113,AC,25.28062725,69.71822789999999,0.19,26.3,89.0,61.0,Acceptable,7.0,1.0
114,NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,Unacceptable,52.0,17.0
115,AC,28.75246105,77.69266745,0.18,29.4,92.45391631,55.0,Acceptable,36.0,3.0
116,AC,25.6408987,66.22472214999999,0.03,26.35,90.0,61.0,Acceptable,26.0,2.0
117,AC,25.81841555,77.31880000000001,1.04,26.3,89.0,63.05670321,Acceptable,56.0,4.0
118,AC,25.16606845,67.43979,0.82,25.75,90.0,61.09088959,Unacceptable,28.0,4.0
119,AC,25.2204294,69.73222255,0.17,26.35,89.0,61.0,Acceptable,11.0,1.0
120,AC,24.90279865,68.55191805000001,0.16,26.4,89.0,62.0,Acceptable,37.0,1.0
121,AC,24.010643,64.5948023,0.13,24.8,89.0,64.0,Acceptable,48.0,2.0
122,NV,28.442776700000003,66.7050676,0.32,29.2,91.0,46.0,Unacceptable,43.0,19.0
123,AC,25.8955231,72.3047329,0.15,26.950000000000003,91.0,57.0,Acceptable,55.0,2.0
124,AC,25.57991885,66.15097895,0.09,26.15,91.0,57.0,Acceptable,16.0,1.0
125,AC,25.50149345,73.650155,0.15,25.950000000000003,88.61356048,60.0,Acceptable,41.0,3.0
126,AC,25.5228548,81.233565,0.39,26.1,95.0,51.0,Acceptable,31.0,4.0
127,NV,27.29382705,75.76189,0.58,28.1,87.0,61.0,Acceptable,51.0,18.0
128,NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,Acceptable,56.0,19.0
129,AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,Acceptable,49.0,3.0
130,AC,25.66198,76.25338735,0.22,26.25,90.0,58.0,Acceptable,58.0,3.0
131,NV,29.8114805,71.02696499999999,0.15,30.5,92.0,54.0,Acceptable,57.0,17.0
132,AC,24.6059084,61.2483838,0.12,25.75,90.0,55.0,Acceptable,54.0,1.0
133,NV,28.3573275,73.97078295,1.03,29.0,90.0,57.0,Acceptable,29.0,19.0
134,NV,28.23942375,74.92679294999999,0.11,29.05,90.0,58.10498425,Unacceptable,29.0,16.0
135,AC,23.61478235,66.9452071,0.12,24.9,89.0,64.0,Acceptable,47.0,1.0
136,NV,26.52745625,74.61818790000001,0.28,27.55,91.0,57.0,Acceptable,25.0,18.0
137,AC,24.893710650000003,74.170166,0.04,25.7,91.0,59.0,Acceptable,30.0,1.0
138,AC,25.3183527,74.67086705,1.1,25.8,91.0,58.0,Acceptable,43.0,4.0
139,NV,28.19567395,75.3918,0.08,29.0,90.0,59.0,Unacceptable,25.0,16.0
140,NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,Acceptable,2.0,18.0
141,NV,29.7720623,71.7059,0.13,30.35,92.0,55.0,Acceptable,56.0,17.0
142,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Unacceptable,60.0,19.0
143,AC,28.0483072,75.18605,1.06,28.9,91.0,55.0,Acceptable,17.0,4.0
144,NV,28.30006695,78.896755,0.03,29.3,91.0,59.0,Unacceptable,23.0,16.0
145,AC,25.2201032,61.53530775,0.18,25.8,89.0,57.0,Acceptable,50.0,4.0
146,AC,24.98846825,65.756475,0.29,25.55,95.0,53.0,Unacceptable,36.0,4.0
147,AC,24.87618635,69.1668231,0.14,26.05,83.0,73.0,Unacceptable,5.0,1.0
148,NV,27.5859369,76.22223275,0.58,28.55,88.82535889,59.0,Acceptable,54.0,19.0
149,NV,28.10838415,67.471385,0.37,28.7,93.0,46.0,Acceptable,46.0,19.0
150,NV,29.37174225,76.40110795,0.75,30.200000000000003,92.0,58.0,Acceptable,37.0,18.0
151,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Acceptable,38.0,18.0
152,NV,28.1159983,74.05206305,0.14,28.9,90.0,56.0,Acceptable,26.0,17.0
153,NV,26.48625645,74.276335,0.34,27.45,91.0,56.79489786,Acceptable,28.0,18.0
154,AC,25.6355152,74.22913,0.74,26.25,92.0,56.0,Acceptable,57.0,4.0
155,NV,27.2297106,80.2595253,0.63,28.35,88.0,62.0,Unacceptable,8.0,19.0
156,NV,25.49842095,71.5555226,0.32,26.5,89.0,62.0,Acceptable,23.0,18.0
157,NV,28.30006695,78.896755,0.03,29.3,91.0,59.0,Acceptable,22.0,16.0
158,AC,24.50745225,63.892345,0.03,25.6,92.0,54.03616543,Acceptable,57.0,1.0
159,AC,24.19105095,60.3192787,0.71,24.6,83.0,73.0,Acceptable,5.0,4.0
160,AC,25.69550105,75.77646715,0.33,26.25,90.0,58.0,Acceptable,60.0,3.0
161,AC,25.51420405,75.206395,0.17,26.05,89.0,59.0,Acceptable,39.0,3.0
162,AC,24.35074325,61.706855,0.41,24.950000000000003,90.0,62.0,Acceptable,24.0,4.0
163,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Unacceptable,40.0,18.0
164,NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,Unacceptable,34.0,19.0
165,NV,29.476764,74.0503044,0.18,30.1,92.0,56.0,Acceptable,33.0,19.0
166,NV,26.939456,77.06971,0.83,27.95,90.0,58.0,Acceptable,27.0,18.0
167,NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,Acceptable,48.0,18.0
168,NV,26.7819213,77.79821720000001,0.5,27.85,90.0,59.0,Unacceptable,20.0,18.0
169,AC,25.56912805,74.659505,0.79,26.0,89.0,60.0,Acceptable,40.0,4.0
170,AC,25.217021,62.9532509,0.23,26.05,83.0,73.0,Acceptable,3.0,4.0
171,AC,23.43789155,66.086117,0.14,24.65,89.0,65.0,Acceptable,43.0,1.0
172,AC,25.24030155,67.368,0.56,25.65,91.0,54.0,Unacceptable,30.0,4.0
173,NV,29.2580948,74.241235,0.03,30.0,90.0,59.0,Unacceptable,14.0,16.0
174,NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,Acceptable,3.0,18.0
175,AC,23.50389215,65.75912,0.15,24.65,89.0,65.0,Acceptable,45.0,1.0
176,NV,27.53707505,78.5155,0.47,28.4,90.0,61.0,Acceptable,34.0,18.0
177,NV,28.97388325,75.5851074,0.36,29.65,89.0,59.0,Acceptable,15.0,19.0
178,AC,24.8261671,70.32521215,0.11,25.55,93.0,54.0,Acceptable,36.0,2.0
179,AC,24.942033350000003,67.68392700000001,0.05,25.9,86.94512065,64.0,Acceptable,24.0,2.0
180,NV,27.36288165,76.61072999999999,0.51,28.25,88.0,62.0,Acceptable,52.0,18.0
181,AC,25.53478625,66.65420225,0.05,26.6,88.14702575,58.0,Acceptable,52.0,2.0
182,NV,29.2580948,74.241235,0.03,30.0,90.0,59.0,Acceptable,18.0,16.0
183,AC,25.03749245,75.901905,0.09,25.9,91.0,58.0,Acceptable,29.0,1.0
184,AC,25.4803936,67.208623,0.05,26.65,89.0,61.0,Acceptable,12.0,2.0
185,AC,25.33085725,72.80657,0.74,25.85,91.0,58.0,Acceptable,45.0,4.0
186,NV,28.1936712,74.08189,0.49,28.85,90.0,57.0,Acceptable,30.0,19.0
187,NV,28.33899975,78.517155,0.05,29.3,91.0,58.0,Unacceptable,36.0,17.0
188,NV,29.79211235,71.031425,0.8,30.45,92.0,54.0,Acceptable,55.0,18.0
189,AC,24.90279865,68.55191805000001,0.16,26.4,89.0,62.0,Unacceptable,40.0,1.0
190,AC,25.4852362,72.59637000000001,0.6,26.05,89.0,52.0,Acceptable,51.0,4.0
191,AC,25.42998695,59.0868149,0.05,26.1,91.0,55.0,Acceptable,14.0,2.0
192,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,Acceptable,14.0,18.0
193,AC,26.4143038,63.468410000000006,0.73,27.05,91.0,55.0,Acceptable,14.0,4.0
194,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,Acceptable,32.0,18.0
195,NV,26.939456,77.06971,0.83,27.95,90.0,58.0,Acceptable,26.0,18.0
196,AC,25.54381275,65.90142265,0.04,26.2,90.0,60.07728641,Acceptable,28.0,2.0
197,NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Unacceptable,39.0,16.0
198,NV,29.70415215,71.47286,0.41,30.35,92.0,54.0,Acceptable,57.0,18.0
199,AC,25.422402400000003,77.39952274999999,0.13,26.2,89.0,62.0,Unacceptable,60.0,2.0
