Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
NV,27.5154085,78.17699775,0.94,28.3,90.0,61.44420015,Warmer,33.0,18.0
AC,28.0483072,75.18605,1.06,28.9,91.0,55.0,No Change,18.0,4.0
NV,26.841360100000003,75.47432275,0.04,27.95,87.0,62.0,Cooler,52.0,16.0
NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,Cooler,38.0,17.0
AC,25.1756868,69.494475,0.15,26.3,89.0,61.0,Cooler,9.0,2.0
AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,No Change,29.0,3.0
AC,25.7659015,74.31389999999999,0.25,26.3,90.0,59.05209725,No Change,58.0,3.0
NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,Cooler,45.0,18.0
AC,25.57991885,66.15097895,0.09,26.15,91.0,57.0,No Change,18.0,1.0
AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,57.0,1.0
AC,25.5710974,71.02542,0.23,26.2,89.0,52.0,No Change,51.0,4.0
AC,24.98846825,65.756475,0.29,25.55,95.0,53.0,Warmer,33.0,4.0
AC,25.89784765,78.6051322,0.68,26.9,90.0,61.0,No Change,29.0,4.0
AC,25.0596764,67.46126705,0.11,25.75,90.09168622,60.09168622,No Change,25.0,1.0
NV,27.6887398,79.48061254999999,1.09,28.6,91.0,61.0,No Change,34.0,16.0
NV,26.434361933500004,75.5877384520001,0.2136999999999999,27.352499999999967,89.5702115894,60.769879898000006,Cooler,27.0,17.0
AC,25.6627033,72.98564999999999,0.03,26.55,91.0,58.04668938,Cooler,59.0,2.0
NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,Cooler,39.0,17.0
AC,25.6406717,67.26145555,0.34,26.0,90.0,63.0,No Change,46.0,3.0
NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,Cooler,7.0,17.0
NV,27.3503275,76.503075,0.72,28.25,87.0,62.0,No Change,50.0,18.0
AC,24.90279865,68.55191805000001,0.16,26.4,89.0,62.0,Warmer,40.0,1.0
AC,25.2201032,61.53530775,0.18,25.8,89.0,57.0,No Change,49.0,4.0
NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,Cooler,12.0,17.0
AC,26.0074838,73.20605499999999,0.9,26.75,91.0,57.0,Warmer,55.0,4.0
AC,25.15946105,72.66568275,0.16,25.75,93.0,55.0,No Change,35.0,2.0
