"Title Comment",""
"Model","LR8515"
"Serial No.","180345475"
"Identify Name","180345475"
"Recording Interval[s]","+6.000000000E+01"
"Trigger Time","2023/09/28 19:10:22.000"

"Channel","Input Type","Range","Scaling Settings","Scaling Conversion Ratio","Scaling Offset"
"CH1-1","Thermocouple","1000C","OFF","",""

"Time","CH1-1[C]"
"2023/09/28 22:40:22.000","+2.88000E+01"
"2023/09/28 22:41:22.000","+2.88000E+01"
"2023/09/28 22:42:22.000","+2.87000E+01"
"2023/09/28 22:43:22.000","+2.87000E+01"
"2023/09/28 22:44:22.000","+2.87000E+01"
"2023/09/28 22:45:22.000","+2.88000E+01"
"2023/09/28 22:46:22.000","+2.88000E+01"
"2023/09/28 22:47:22.000","+2.88000E+01"
"2023/09/28 22:48:22.000","+2.88000E+01"
"2023/09/28 22:49:22.000","+2.88000E+01"
"2023/09/28 22:50:22.000","+2.88000E+01"
"2023/09/28 22:51:22.000","+2.88000E+01"
"2023/09/28 22:52:22.000","+2.87000E+01"
"2023/09/28 22:53:22.000","+2.88000E+01"
"2023/09/28 22:54:22.000","+2.88000E+01"
"2023/09/28 22:55:22.000","+2.88000E+01"
"2023/09/28 22:56:22.000","+2.87000E+01"
"2023/09/28 22:57:22.000","+2.88000E+01"
"2023/09/28 22:58:22.000","+2.88000E+01"
"2023/09/28 22:59:22.000","+2.88000E+01"
"2023/09/28 23:00:22.000","+2.88000E+01"
"2023/09/28 23:01:22.000","+2.88000E+01"
"2023/09/28 23:02:22.000","+2.88000E+01"
"2023/09/28 23:03:22.000","+2.88000E+01"
"2023/09/28 23:04:22.000","+2.88000E+01"
"2023/09/28 23:05:22.000","+2.88000E+01"
"2023/09/28 23:06:22.000","+2.88000E+01"
"2023/09/28 23:07:22.000","+2.87000E+01"
"2023/09/28 23:08:22.000","+2.88000E+01"
"2023/09/28 23:09:22.000","+2.88000E+01"
"2023/09/28 23:10:22.000","+2.88000E+01"
"2023/09/28 23:11:22.000","+2.88000E+01"
"2023/09/28 23:12:22.000","+2.88000E+01"
"2023/09/28 23:13:22.000","+2.88000E+01"
"2023/09/28 23:14:22.000","+2.88000E+01"
"2023/09/28 23:15:22.000","+2.88000E+01"
"2023/09/28 23:16:22.000","+2.88000E+01"
"2023/09/28 23:17:22.000","+2.88000E+01"
